country,year,age_group,sex,any_common_mentions,unique_records,records_with_multiple_subcodes
BR,2012,55-59,M,294,274,20
BR,2012,35-39,M,59,54,4
BR,2012,30-34,F,67,63,4
BR,2012,15-19,F,13,10,3
BR,2012,25-29,M,20,18,2
BR,2012,40-44,F,127,120,7
BR,2012,55-59,F,328,308,20
BR,2012,45-49,M,156,148,8
BR,2012,25-29,F,44,40,4
BR,2012,35-39,F,93,84,9
BR,2012,45-49,F,202,187,14
BR,2012,10-14,F,6,5,1
BR,2012,20-24,F,24,22,2
BR,2012,5-9,F,1,1,0
BR,2013,60-64,M,396,371,25
BR,2013,75-79,M,538,496,41
BR,2013,0-4,M,24,23,1
BR,2013,35-39,M,51,48,3
BR,2013,45-49,M,147,135,12
BR,2013,80-84,F,733,659,74
BR,2013,10-14,M,3,3,0
BR,2013,15-19,F,12,11,1
BR,2013,85+,M,536,483,51
BR,2013,75-79,F,702,627,72
BR,2013,85+,F,1160,1031,126
BR,2013,55-59,M,330,309,21
BR,2013,0-4,F,18,18,0
BR,2013,70-74,M,484,448,35
BR,2013,65-69,M,411,367,43
BR,2013,45-49,F,209,183,24
BR,2013,30-34,M,51,47,4
BR,2013,80-84,M,495,442,50
BR,2013,70-74,F,674,606,65
BR,2013,50-54,M,188,175,13
BR,2013,15-19,M,18,16,2
BR,2013,50-54,F,268,247,21
BR,2013,60-64,F,442,396,43
BR,2013,65-69,F,556,506,49
BR,2013,25-29,M,28,25,3
BR,2013,30-34,F,80,71,8
BR,2013,25-29,F,52,48,4
BR,2013,55-59,F,375,342,32
BR,2013,40-44,F,120,113,7
BR,2013,35-39,F,97,87,10
BR,2013,40-44,M,108,103,5
BR,2013,5-9,M,4,4,0
BR,2013,20-24,F,22,22,0
BR,2013,10-14,F,4,4,0
BR,2013,5-9,F,4,4,0
BR,2013,20-24,M,11,11,0
BR,2014,35-39,M,69,64,5
BR,2014,25-29,M,23,23,0
BR,2014,0-4,M,21,21,0
BR,2014,70-74,M,501,454,47
BR,2014,70-74,F,607,541,62
BR,2014,55-59,F,389,361,28
BR,2014,85+,F,1200,1059,138
BR,2014,85+,M,586,521,62
BR,2014,75-79,M,575,519,53
BR,2014,0-4,F,19,18,1
BR,2014,40-44,M,96,85,11
BR,2014,80-84,F,711,640,70
BR,2014,75-79,F,749,678,71
BR,2014,30-34,M,39,35,4
BR,2014,15-19,M,7,7,0
BR,2014,60-64,M,387,362,24
BR,2014,45-49,M,160,146,14
BR,2014,50-54,F,273,245,27
BR,2014,45-49,F,211,192,19
BR,2014,65-69,M,460,422,35
BR,2014,80-84,M,539,483,53
BR,2014,40-44,F,134,116,18
BR,2014,50-54,M,219,201,17
BR,2014,65-69,F,580,531,46
BR,2014,25-29,F,44,41,3
BR,2014,55-59,M,341,317,24
BR,2014,20-24,M,20,17,3
BR,2014,10-14,M,4,4,0
BR,2014,30-34,F,67,60,7
BR,2014,60-64,F,430,398,30
BR,2014,15-19,F,14,13,1
BR,2014,5-9,F,2,1,1
BR,2014,5-9,M,1,1,0
BR,2014,10-14,F,3,3,0
BR,2014,35-39,F,89,83,5
BR,2014,20-24,F,43,38,4
BR,2015,65-69,F,551,507,43
BR,2015,80-84,M,473,424,49
BR,2015,50-54,M,240,222,18
BR,2015,80-84,F,758,684,71
BR,2015,25-29,F,41,36,5
BR,2015,30-34,M,57,53,4
BR,2015,85+,M,618,552,63
BR,2015,85+,F,1304,1164,132
BR,2015,65-69,M,455,421,32
BR,2015,55-59,M,313,288,25
BR,2015,70-74,M,566,506,60
BR,2015,10-14,M,2,2,0
BR,2015,50-54,F,281,259,21
BR,2015,75-79,M,558,510,47
BR,2015,0-4,F,16,16,0
BR,2015,70-74,F,583,523,60
BR,2015,0-4,M,30,30,0
BR,2015,45-49,F,219,192,26
BR,2015,40-44,F,131,117,14
BR,2015,30-34,F,69,62,6
BR,2015,40-44,M,116,112,4
BR,2015,60-64,M,391,363,27
BR,2015,20-24,M,15,14,1
BR,2015,45-49,M,148,139,9
BR,2015,75-79,F,758,685,71
BR,2015,10-14,F,10,8,2
BR,2015,60-64,F,460,429,30
BR,2015,15-19,M,4,4,0
BR,2015,55-59,F,359,337,21
BR,2015,35-39,M,78,71,7
BR,2015,25-29,M,34,30,4
BR,2015,15-19,F,19,19,0
BR,2015,5-9,F,0,0,0
BR,2015,35-39,F,99,91,8
BR,2015,20-24,F,30,29,1
BR,2015,5-9,M,2,2,0
BR,2016,25-29,M,26,25,1
BR,2016,10-14,F,1,1,0
BR,2016,30-34,M,53,50,3
BR,2016,55-59,M,331,296,31
BR,2016,0-4,F,20,20,0
BR,2016,40-44,M,108,102,6
BR,2016,45-49,M,182,167,15
BR,2016,35-39,M,58,58,0
BR,2016,55-59,F,373,345,28
BR,2016,75-79,M,509,479,30
BR,2016,65-69,F,578,537,41
BR,2016,70-74,M,556,513,43
BR,2016,80-84,M,502,447,53
BR,2016,60-64,M,485,445,38
BR,2016,75-79,F,730,664,65
BR,2016,60-64,F,481,444,37
BR,2016,65-69,M,537,503,32
BR,2016,85+,F,1305,1155,145
BR,2016,40-44,F,144,134,10
BR,2016,80-84,F,804,704,94
BR,2016,85+,M,636,560,75
BR,2016,0-4,M,30,30,0
BR,2016,50-54,M,218,203,14
BR,2016,15-19,M,10,8,2
BR,2016,30-34,F,66,61,5
BR,2016,70-74,F,634,571,61
BR,2016,35-39,F,99,88,11
BR,2016,5-9,M,1,1,0
BR,2016,50-54,F,283,255,26
BR,2016,45-49,F,203,185,18
BR,2016,20-24,M,21,17,3
BR,2016,15-19,F,5,5,0
BR,2016,20-24,F,40,37,3
BR,2016,10-14,M,1,1,0
BR,2016,5-9,F,2,2,0
BR,2016,25-29,F,53,50,3
BR,2017,20-24,M,18,16,2
BR,2017,0-4,M,32,32,0
BR,2017,80-84,F,822,723,96
BR,2017,15-19,M,8,8,0
BR,2017,50-54,F,313,290,21
BR,2017,70-74,F,666,611,53
BR,2017,60-64,M,442,415,27
BR,2017,0-4,F,23,23,0
BR,2017,85+,F,1341,1177,161
BR,2017,45-49,M,172,154,18
BR,2017,75-79,F,819,743,74
BR,2017,85+,M,665,597,66
BR,2017,55-59,F,370,340,29
BR,2017,65-69,M,558,504,50
BR,2017,45-49,F,206,189,16
BR,2017,75-79,M,638,579,58
BR,2017,25-29,M,23,22,1
BR,2017,70-74,M,566,512,53
BR,2017,30-34,M,54,49,5
BR,2017,35-39,M,76,70,6
BR,2017,55-59,M,335,311,24
BR,2017,50-54,M,229,213,16
BR,2017,80-84,M,553,499,49
BR,2017,25-29,F,45,41,4
BR,2017,40-44,M,96,92,4
BR,2017,40-44,F,150,136,13
BR,2017,65-69,F,636,567,67
BR,2017,5-9,F,1,1,0
BR,2017,60-64,F,522,470,50
BR,2017,35-39,F,99,91,8
BR,2017,20-24,F,25,22,3
BR,2017,15-19,F,10,9,1
BR,2017,30-34,F,88,75,13
BR,2017,10-14,M,2,2,0
BR,2017,10-14,F,4,4,0
BR,2017,5-9,M,2,2,0
BR,2018,50-54,M,232,216,16
BR,2018,0-4,F,23,22,1
BR,2018,85+,M,754,675,77
BR,2018,85+,F,1381,1223,155
BR,2018,75-79,M,645,583,59
BR,2018,80-84,F,799,720,79
BR,2018,35-39,F,92,85,7
BR,2018,60-64,M,443,412,31
BR,2018,0-4,M,39,38,1
BR,2018,55-59,F,396,364,31
BR,2018,80-84,M,617,555,58
BR,2018,65-69,M,558,505,52
BR,2018,10-14,F,3,3,0
BR,2018,55-59,M,337,320,17
BR,2018,65-69,F,616,563,53
BR,2018,70-74,M,623,561,59
BR,2018,10-14,M,4,4,0
BR,2018,40-44,F,136,123,12
BR,2018,40-44,M,102,94,8
BR,2018,70-74,F,723,653,67
BR,2018,20-24,M,14,13,1
BR,2018,75-79,F,738,661,75
BR,2018,35-39,M,80,69,10
BR,2018,30-34,M,42,37,4
BR,2018,25-29,F,37,35,2
BR,2018,60-64,F,504,464,40
BR,2018,50-54,F,310,282,28
BR,2018,45-49,F,197,181,16
BR,2018,20-24,F,40,35,5
BR,2018,15-19,M,11,9,2
BR,2018,25-29,M,24,23,1
BR,2018,15-19,F,16,15,1
BR,2018,45-49,M,142,132,10
BR,2018,5-9,F,1,1,0
BR,2018,30-34,F,61,55,6
BR,2018,5-9,M,0,0,0
BR,2019,55-59,M,364,334,28
BR,2019,80-84,F,832,738,89
BR,2019,70-74,F,733,651,79
BR,2019,45-49,M,158,143,15
BR,2019,85+,M,772,690,79
BR,2019,65-69,M,553,510,41
BR,2019,75-79,F,795,710,84
BR,2019,40-44,M,99,95,4
BR,2019,25-29,F,42,39,3
BR,2019,75-79,M,726,652,72
BR,2019,20-24,M,16,16,0
BR,2019,60-64,M,460,426,32
BR,2019,85+,F,1501,1330,165
BR,2019,80-84,M,597,535,60
BR,2019,0-4,F,25,25,0
BR,2019,65-69,F,653,590,62
BR,2019,50-54,F,283,258,23
BR,2019,0-4,M,32,31,1
BR,2019,70-74,M,614,564,49
BR,2019,35-39,M,97,91,6
BR,2019,55-59,F,419,389,29
BR,2019,25-29,M,34,33,1
BR,2019,15-19,M,8,8,0
BR,2019,40-44,F,171,145,24
BR,2019,50-54,M,278,254,22
BR,2019,60-64,F,538,498,40
BR,2019,20-24,F,24,23,1
BR,2019,30-34,M,41,40,1
BR,2019,45-49,F,223,199,22
BR,2019,35-39,F,124,109,14
BR,2019,10-14,M,5,5,0
BR,2019,15-19,F,13,12,1
BR,2019,30-34,F,67,59,8
BR,2019,10-14,F,3,3,0
BR,2019,5-9,M,5,5,0
BR,2019,5-9,F,0,0,0
BR,2020,85+,M,757,673,82
BR,2020,65-69,F,636,584,51
BR,2020,55-59,F,373,340,31
BR,2020,75-79,F,716,659,55
BR,2020,80-84,F,827,742,85
BR,2020,50-54,F,302,283,18
BR,2020,85+,F,1303,1158,141
BR,2020,50-54,M,203,187,16
BR,2020,45-49,M,156,146,10
BR,2020,30-34,M,46,43,3
BR,2020,55-59,M,377,351,25
BR,2020,45-49,F,216,198,18
BR,2020,70-74,F,648,593,52
BR,2020,60-64,M,461,429,32
BR,2020,65-69,M,542,515,27
BR,2020,70-74,M,624,579,44
BR,2020,40-44,M,117,112,5
BR,2020,0-4,F,20,20,0
BR,2020,0-4,M,19,19,0
BR,2020,75-79,M,622,570,52
BR,2020,10-14,F,2,2,0
BR,2020,80-84,M,617,543,73
